,Month,Fortified,Red ,Rose ,sparkling ,Sweet white,Dry white
62,Mar-85,2724,1164,124,1846,125,2903
63,Apr-85,2954,1205,93,1589,122,2910
64,May-85,4092,1538,108,1896,120,3782
65,Jun-85,3470,1513,75,1379,118,2759
66,Jul-85,3990,1378,87,1645,281,2931
67,Aug-85,4239,2083,103,2512,344,3641
68,Sep-85,2855,1357,90,1771,366,2794
69,Oct-85,2897,1536,108,3727,362,3070
70,Nov-85,3433,1526,123,4388,580,3576
71,Dec-85,3307,1376,129,5434,523,4106
72,Jan-86,1914,779,57,1606,348,2452
73,Feb-86,2214,1005,65,1523,246,2206
74,Mar-86,2320,1193,67,1577,197,2488
75,Apr-86,2714,1522,71,1605,306,2416
76,May-86,3633,1539,76,1765,279,2534
77,Jun-86,3295,1546,67,1403,280,2521
78,Jul-86,4377,2116,110,2584,358,3093
79,Aug-86,4442,2326,118,3318,431,3903
80,Sep-86,2774,1596,99,1562,448,2907
81,Oct-86,2840,1356,85,2349,433,3025
82,Nov-86,2828,1553,107,3987,504,3812
83,Dec-86,3758,1613,141,5891,579,4209
84,Jan-87,1610,814,58,1389,384,2138
85,Feb-87,1968,1150,65,1442,335,2419
86,Mar-87,2248,1225,70,1548,320,2622
87,Apr-87,3262,1691,86,1935,496,2912
88,May-87,3164,1759,93,1518,448,2708
89,Jun-87,2972,1754,74,1250,377,2798
90,Jul-87,4041,2100,87,1847,523,3254
91,Aug-87,3402,2062,73,1930,468,2895
92,Sep-87,2898,2012,101,2638,428,3263
93,Oct-87,2555,1897,100,3114,520,3736
94,Nov-87,3056,1964,96,4405,493,4077
95,Dec-87,3717,2186,157,7242,662,4097
96,Jan-88,1755,966,63,1853,304,2175
97,Feb-88,2193,1549,115,1779,308,3138
98,Mar-88,2198,1538,70,2108,313,2823
99,Apr-88,2777,1612,66,2336,328,2498
100,May-88,3076,2078,67,1728,354,2822
101,Jun-88,3389,2137,83,1661,338,2738
102,Jul-88,4231,2907,79,2230,483,4137
103,Aug-88,3118,2249,77,1645,355,3515
104,Sep-88,2524,1883,102,2421,439,3785
105,Oct-88,2280,1739,116,3740,290,3632
106,Nov-88,2862,1828,100,4988,352,4504
107,Dec-88,3502,1868,135,6757,454,4451
108,Jan-89,1558,1138,71,1757,306,2550
109,Feb-89,1940,1430,60,1394,303,2867
110,Mar-89,2226,1809,89,1982,344,3458
111,Apr-89,2676,1763,74,1650,254,2961
112,May-89,3145,2200,73,1654,309,3163
113,Jun-89,3224,2067,91,1406,310,2880
114,Jul-89,4117,2503,86,1971,379,3331
115,Aug-89,3446,2141,74,1968,294,3062
116,Sep-89,2482,2103,87,2608,356,3534
117,Oct-89,2349,1972,87,3845,318,3622
118,Nov-89,2986,2181,109,4514,405,4464
119,Dec-89,3163,2344,137,6694,545,5411
120,Jan-90,1651,970,43,1720,268,2564
121,Feb-90,1725,1199,69,1321,243,2820
122,Mar-90,2622,1718,73,1859,273,3508
123,Apr-90,2316,1683,77,1628,273,3088
124,May-90,2976,2025,69,1615,236,3299
125,Jun-90,3263,2051,76,1457,222,2939
126,Jul-90,3951,2439,78,1899,302,3320
127,Aug-90,2917,2353,70,1605,285,3418
128,Sep-90,2380,2230,83,2424,309,3604
129,Oct-90,2458,1852,65,3116,322,3495
130,Nov-90,2883,2147,110,4286,362,4163
131,Dec-90,2579,2286,132,6047,471,4882
132,Jan-91,1330,1007,54,1902,198,2211
133,Feb-91,1686,1665,55,2049,253,3260
134,Mar-91,2457,1642,66,1874,173,2992
135,Apr-91,2514,1518,65,1279,186,2425
136,May-91,2834,1831,60,1432,185,2707
137,Jun-91,2757,2207,65,1540,105,3244
138,Jul-91,3425,2822,96,2214,228,3965
139,Aug-91,3006,2393,55,1857,214,3315
140,Sep-91,2369,2306,71,2408,189,3333
141,Oct-91,2017,1785,63,3252,270,3583
142,Nov-91,2507,2047,74,3627,277,4021
143,Dec-91,3168,2171,106,6153,378,4904
144,Jan-92,1545,1212,34,1577,185,2252
145,Feb-92,1643,1335,47,1667,182,2952
146,Mar-92,2112,2011,56,1993,258,3573
147,Apr-92,2415,1860,53,1997,179,3048
148,May-92,2862,1954,53,1783,197,3059
149,Jun-92,2822,2152,55,1625,168,2731
150,Jul-92,3260,2835,67,2076,250,3563
151,Aug-92,2606,2224,52,1773,211,3092
152,Sep-92,2264,2182,46,2377,260,3478
153,Oct-92,2250,1992,51,3088,234,3478
154,Nov-92,2545,2389,58,4096,305,4308
155,Dec-92,2856,2724,91,6119,347,5029
156,Jan-93,1208,891,33,1494,203,2075
